Token,Item Name,Variation Name,SKU,Description,Category,Square Online Item Visibility,Price,Sellable,Stockable,Option Name 1,Option Value 1,Current Quantity Coastal Cottage Boutique,New Quantity Coastal Cottage Boutique,Stock Alert Enabled Coastal Cottage Boutique,Stock Alert Count Coastal Cottage Boutique,Tax - Sales Tax (7%)
H4KJ3KBT5F7PCHVYSJL32EJB,Anna Bracelet,18K Gold-Plated,,"<p><strong>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </strong></p>",,visible,39.00,,,,,1,,,,N
IQ4Z7EFYGGIQTJHARKNC4LDK,Anna Earrings,18K Gold-Plated,,"<p><strong>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </strong></p>",,visible,32.00,,,,,1,,,,N
FWR3SVTJMEEJFQ3NGW3RVYON,Anna Hoops,18K Gold-Plated,,"<p><strong>Made with Stainless Steel and 18K Gold, these beauties are completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </strong></p>",,visible,35.00,,,,,1,,,,N
RW5QNMQ43S6L6WJVPP3D2E33,Anna Ring,18K Gold-Plated,,"<p><strong>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </strong></p><p>Size 7</p>",,visible,39.00,,,,,1,,,,N
WCE2SAHUODZ5QZKAUQRLNM2S,Ariana Bracelet,18K Gold-Plated,,"<p><strong><em>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </em></strong></p>",,visible,35.00,,,,,0,,,,N
UZKB7INRSSEOL732QFWMA5MC,Ariana Necklace,18K Gold-Plated,,"<p><strong><em>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </em></strong></p>",,visible,39.00,,,,,1,,,,N
LXP67DHJJFPQ3ONLNNAOYGIN,Ariana Ring,18K Gold-Plated,,"<p><strong><em>Adjustable Ring. Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </em></strong></p>",,visible,39.00,,,,,1,,,,N
NXX6UIHZLDYGIU3YPJKRD7BY,Ariana Ring (White Gold),White Gold,,"<p><strong><em>Adjustable Ring. Made with Stainless Steel and White Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </em></strong></p>",,visible,39.00,,,,,1,,,,N
5QZMOVYXARI524HECTBWP5GS,Camille Earrings,18K Gold-Plated,,"<p><strong><em>Made with Stainless Steel and 18K Gold, these beauties are completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </em></strong></p>",,visible,32.00,,,,,1,,,,N
GRQFGXLUVHWQPUXTGV3KL5PW,Camille Ring,Size 7,,"<p><strong><em>Made with Stainless Steel and 18K Gold, this beauty is completely hypoallergenic, being Nickel-Free, Lead-Free, and Cadmium-Free. </em></strong></p><p>Size 7</p>",,visible,39.00,,,,,1,,,,N
